sorted_id,id,taxi_num_id,latitude_val,longitude_val,taxi_status,min_time,speed,dirctn_ind,opr_nam_id,file_id
1919421828,555376843,867,1.34668966666667,193.745913833333,1,2018-01-01 00:00:00,1,1,1,1
1919421829,555387795,2769,1.385285,193.7675,2,2018-01-01 00:00:00,1,1,1,1
1919421839,555419779,8979,1.319714,193.7698,1,2018-01-01 00:00:00,1,1,1,1
1919421831,555394531,9762,1.387422,193.9957,2,2018-01-01 00:00:00,1,1,1,1
1919421832,555378486,3145,1.32576,193.8339,3,2018-01-01 00:00:00,1,1,1,1
1919421833,555384737,1658,1.29228,193.8429,2,2018-01-01 00:00:00,1,1,1,1
1919421834,555379422,14332,1.32437,193.6783,3,2018-01-01 00:00:00,1,1,1,1
1919421835,555385597,11159,1.44196,193.8913,5,2018-01-01 00:00:00,1,1,1,1

